Año,Asignatura,Porcentaje_Aprobados
2006,Software Contable,0.72
2006,Formulacion y Evaluacion de Proyectos,0.8283
2006,Herramientas de Desarrollo de Software,1
2006,Analisis y Diseño de Sistemas,1
2006,Diseño Gráfico,0.8
2006,Contabilidad II,0.68
2006,Herramientas de Desarrollo III,0.6697
2006,Herramientas de Desarrollo IV,0.7213
2006,Ofimatica,0.6065
2006,Desarrollo de Software,0.6869
2006,Matemática II,0.652
2006,Diseño de Páginas Web,0.8087
2006,Redes y Conectividad,0.8009
2006,Diseño y Gestion de Base de Datos,1
2006,Contabilidad I,0.5589
2006,Matemática III,0.7149
2006,Base de Datos I,0.6425
2006,Herramientas de Desarrollo II,0.656
2006,Administración y Liderazgo,0.8197
2006,Algorítmica II,0.596
2006,Matemática I,0.5689
2006,Redes y Teleprocesos,1
2006,Análisis y Diseño de Sist. de Inf. I,0.6923
2006,Comercio Electronico,0.8283
2007,Administración de Centros de Computo,0.6071
2007,Análisis y Diseño de Sist. de Inf. I,0.7195
2007,Software Contable,0.7
2007,Algorítmica II,0.6429
2007,Redes y Conectividad,0.7683
2007,Diseño de Páginas Web,0.622
2007,Matemática III,0.7256
2007,Diseño y Gestion de Base de Datos,1
2007,Contabilidad I,0.5742
2007,Sistemas Distribuidos,0.5595
2007,Desarrollo de Software,0.5238
2007,Analisis y Diseño de Sistemas,1
2007,Base de Datos I,0.7378
2007,Comercio Electronico,0.6786
2007,Matemática I,0.5385
2007,Formulacion y Evaluacion de Proyectos,0.6071
2007,Contabilidad II,0.6464
2007,Herramientas de Desarrollo II,0.7036
2007,Herramientas de Desarrollo IV,0.3622
2007,Herramientas de Desarrollo de Software,1
2007,Herramientas de Desarrollo I,0.4955
2007,Algorítmica I,0.4973
2007,Base de Datos II,0.5118
2007,Ofimatica,0.6208
2007,Diseño Gráfico,0.7321
2007,Matemática II,0.6607
2007,Análisis y Diseño de Sist. de Inf. II,0.4409
2007,Herramientas de Desarrollo III,0.6585
2007,Arquitectura del Computador,0.551
2007,Administración y Liderazgo,0.5512
2007,Redes y Teleprocesos,1
2008,Herramientas de Desarrollo III,0.7415
2008,Matemática I,0.6356
2008,Comercio Electronico,0.7283
2008,Redes y Teleprocesos,1
2008,Base de Datos I,0.6864
2008,Sistemas Distribuidos,0.7174
2008,Algorítmica I,0.5248
2008,Base de Datos II,0.7202
2008,Herramientas de Desarrollo de Software,1
2008,Contabilidad I,0.6099
2008,Desarrollo de Software,0.712
2008,Análisis y Diseño de Sist. de Inf. II,0.7569
2008,Arquitectura del Computador,0.6356
2008,Matemática II,0.6034
2008,Matemática III,0.7076
2008,Contabilidad II,0.6092
2008,Algorítmica II,0.5144
2008,Diseño de Páginas Web,0.7752
2008,Diseño Gráfico,0.8218
2008,Diseño y Gestion de Base de Datos,1
2008,Ofimatica,0.6931
2008,Formulacion y Evaluacion de Proyectos,0.7717
2008,Administración y Liderazgo,0.8119
2008,Herramientas de Desarrollo II,0.569
2008,Analisis y Diseño de Sistemas,1
2008,Herramientas de Desarrollo I,0.5921
2008,Software Contable,0.6897
2008,Redes y Conectividad,0.7797
2008,Herramientas de Desarrollo IV,0.633
2008,Análisis y Diseño de Sist. de Inf. I,0.7076
2008,Administración de Centros de Computo,0.75
2009,Herramientas de Desarrollo III,0.53
2009,Arquitectura del Computador,0.5678
2009,Redes y Conectividad,0.7834
2009,Ofimatica,0.6538
2009,Matemática II,0.589
2009,Diseño Gráfico,0.6473
2009,Administración de Centros de Computo,0.7458
2009,Herramientas de Desarrollo I,0.5366
2009,Herramientas de Desarrollo IV,0.601
2009,Algorítmica I,0.478
2009,Herramientas de Desarrollo de Software,1
2009,Herramientas de Desarrollo II,0.4829
2009,Administración y Liderazgo,0.7273
2009,Contabilidad I,0.6282
2009,Desarrollo de Software,0.6441
2009,Redes y Teleprocesos,1
2009,Análisis y Diseño de Sist. de Inf. I,0.7097
2009,Análisis y Diseño de Sist. de Inf. II,0.7727
2009,Base de Datos II,0.6364
2009,Base de Datos I,0.6221
2009,Matemática I,0.5824
2009,Algorítmica II,0.4281
2009,Comercio Electronico,0.7345
2009,Sistemas Distribuidos,0.6893
2009,Software Contable,0.6438
2009,Diseño y Gestion de Base de Datos,1
2009,Diseño de Páginas Web,0.6162
2009,Matemática III,0.7235
2009,Analisis y Diseño de Sistemas,1
2009,Contabilidad II,0.5925
2009,Formulacion y Evaluacion de Proyectos,0.7288
2010,Análisis y Diseño de Sist. de Inf. I,0.6359
2010,Contabilidad I,0.6213
2010,Sistemas Distribuidos,0.5566
2010,Ofimatica,0.6553
2010,Herramientas de Desarrollo I,0.5766
2010,Herramientas de Desarrollo IV,0.6059
2010,Contabilidad II,0.6565
2010,Desarrollo de Software,0.5943
2010,Software Contable,0.6565
2010,Matemática II,0.6803
2010,Herramientas de Desarrollo de Software,0.9434
2010,Diseño y Gestion de Base de Datos,0.9245
2010,Administración de Centros de Computo,0.717
2010,Matemática III,0.7039
2010,Algorítmica II,0.568
2010,Base de Datos I,0.5388
2010,Comercio Electronico,0.6321
2010,Análisis y Diseño de Sist. de Inf. II,0.7118
2010,Arquitectura del Computador,0.5532
2010,Base de Datos II,0.7059
2010,Redes y Teleprocesos,0.9623
2010,Diseño de Páginas Web,0.7353
2010,Analisis y Diseño de Sistemas,0.9623
2010,Redes y Conectividad,0.7961
2010,Formulacion y Evaluacion de Proyectos,0.6604
2010,Diseño Gráfico,0.7109
2010,Algorítmica I,0.5404
2010,Herramientas de Desarrollo III,0.5437
2010,Administración y Liderazgo,0.7706
2010,Matemática I,0.6021
2010,Herramientas de Desarrollo II,0.4898
2011,Herramientas de Desarrollo III,0.6234
2011,Algorítmica I,0.5557
2011,Diseño de Páginas Web,0.6039
2011,Redes y Teleprocesos,0.9896
2011,Analisis y Diseño de Sistemas,0.9792
2011,Diseño Gráfico,0.6774
2011,Base de Datos II,0.5844
2011,Herramientas de Desarrollo de Software,0.9792
2011,Análisis y Diseño de Sist. de Inf. II,0.6883
2011,Administración de Centros de Computo,0.8649
2011,Administración y Liderazgo,0.7597
2011,Contabilidad II,0.6909
2011,Software Contable,0.6909
2011,Arquitectura del Computador,0.5844
2011,Redes y Conectividad,0.8159
2011,Herramientas de Desarrollo II,0.5699
2011,Algorítmica II,0.5565
2011,Formulacion y Evaluacion de Proyectos,0.7703
2011,Análisis y Diseño de Sist. de Inf. I,0.8075
2011,Ofimatica,0.6433
2011,Herramientas de Desarrollo I,0.5876
2011,Diseño y Gestion de Base de Datos,0.9896
2011,Sistemas Distribuidos,0.5743
2011,Contabilidad I,0.6242
2011,Matemática III,0.8075
2011,Herramientas de Desarrollo IV,0.5714
2011,Matemática II,0.6129
2011,Desarrollo de Software,0.6757
2011,Matemática I,0.5732
2011,Comercio Electronico,0.5676
2011,Base de Datos I,0.7406
2012,Administración y Liderazgo,0.7237
2012,Base de Datos I,0.7218
2012,Algorítmica II,0.6692
2012,Comercio Electronico,0.7688
2012,Sistemas Distribuidos,0.6185
2012,Matemática II,0.5692
2012,Herramientas de Desarrollo de Software,1
2012,Base de Datos II,0.6535
2012,Análisis y Diseño de Sist. de Inf. II,0.7851
2012,Algorítmica I,0.526
2012,Contabilidad I,0.5879
2012,Desarrollo de Software,0.6879
2012,Análisis y Diseño de Sist. de Inf. I,0.6917
2012,Software Contable,0.6872
2012,Herramientas de Desarrollo III,0.5752
2012,Diseño de Páginas Web,0.7149
2012,Redes y Conectividad,0.7481
2012,Ofimatica,0.6097
2012,Diseño y Gestion de Base de Datos,1
2012,Matemática I,0.5477
2012,Herramientas de Desarrollo II,0.5026
2012,Contabilidad II,0.5692
2012,Matemática III,0.6917
2012,Analisis y Diseño de Sistemas,1
2012,Herramientas de Desarrollo IV,0.6798
2012,Administración de Centros de Computo,0.8671
2012,Arquitectura del Computador,0.5444
2012,Herramientas de Desarrollo I,0.5662
2012,Formulacion y Evaluacion de Proyectos,0.8613
2012,Diseño Gráfico,0.7051
2012,Redes y Teleprocesos,1
2013,Administración y Liderazgo,0.8129
2013,Herramientas de Desarrollo II,0.6833
2013,Formulacion y Evaluacion de Proyectos,0.8235
2013,Análisis y Diseño de Sist. de Inf. II,0.7097
2013,Software Contable,0.7544
2013,Redes y Conectividad,0.7011
2013,Diseño de Páginas Web,0.729
2013,Analisis y Diseño de Sistemas,0.9917
2013,Matemática I,0.5404
2013,Redes y Teleprocesos,0.9917
2013,Comercio Electronico,0.6639
2013,Herramientas de Desarrollo III,0.587
2013,Base de Datos II,0.6065
2013,Base de Datos I,0.7065
2013,Algorítmica II,0.6868
2013,Arquitectura del Computador,0.5574
2013,Matemática III,0.6793
2013,Contabilidad I,0.6128
2013,Sistemas Distribuidos,0.6387
2013,Análisis y Diseño de Sist. de Inf. I,0.6848
2013,Administración de Centros de Computo,0.8571
2013,Herramientas de Desarrollo IV,0.6194
2013,Matemática II,0.6477
2013,Diseño Gráfico,0.7224
2013,Diseño y Gestion de Base de Datos,0.9917
2013,Algorítmica I,0.5191
2013,Contabilidad II,0.7295
2013,Desarrollo de Software,0.7059
2013,Herramientas de Desarrollo de Software,0.9833
2013,Herramientas de Desarrollo I,0.5404
2013,Ofimatica,0.5979
2014,Matemática III,0.6747
2014,Sistemas Distribuidos,0.6834
2014,Ofimatica,0.575
2014,Contabilidad II,0.709
2014,Administración y Liderazgo,0.7753
2014,Análisis y Diseño de Sist. de Inf. I,0.661
